import_batch,source_file,source_relpath,source_sha256,activity_id,start_time,start_time_raw,start_time_utc,start_timezone,start_time_resolution,start_lat,start_lon,sport,sub_sport,distance_mi,duration_s,avg_hr,max_hr,ascent_m,weather_temp_c,weather_temp_f,weather_source,weather_observation_time,weather_fetch_error,parser,parse_error
COROS_export_2026-06-21,478263554103869447.fit,data/coros_exports/COROS_export_2026-06-21/478263554103869447.fit,ea552b8819642c033359c4d3af0b108da5b9c0bf236e3fbea9b965fe8115f051,478263554103869447,2026-06-16T17:53:59-04:00,2026-06-16 21:53:59+00:00,2026-06-16T21:53:59+00:00,America/New_York,source_offset,40.811329,-73.954178,running,,8.37,5515,147,165,100,25.8,78.4,open-meteo,2026-06-16T17:00,,fitdecode,
COROS_export_2026-06-21,478289111319347301.fit,data/coros_exports/COROS_export_2026-06-21/478289111319347301.fit,67cb69022129dcbdc94f461a84b72c3910cf7fe2eec6d312f07ce1ad34b6bc94,478289111319347301,2026-06-17T17:44:37-04:00,2026-06-17 21:44:37+00:00,2026-06-17T21:44:37+00:00,America/New_York,source_offset,40.811028,-73.954338,running,,5.00,3414,142,156,60,24.2,75.6,open-meteo,2026-06-17T17:00,,fitdecode,
COROS_export_2026-06-21,478326920172306437.fit,data/coros_exports/COROS_export_2026-06-21/478326920172306437.fit,235541ed54d96e61fa5f701e12cf53c95865b270b39afb3781c4f633a682f586,478326920172306437,2026-06-19T10:05:35-04:00,2026-06-19 14:05:35+00:00,2026-06-19T14:05:35+00:00,America/New_York,source_offset,40.811060,-73.954444,running,,4.27,2846,138,152,58,23.6,74.5,open-meteo,2026-06-19T10:00,,fitdecode,
COROS_export_2026-06-21,478344049051336704.fit,data/coros_exports/COROS_export_2026-06-21/478344049051336704.fit,24ab056616de85b55ca25a62f0aac9a057d9608390218af9d7e9a493fb28f52e,478344049051336704,2026-06-20T09:38:35-04:00,2026-06-20 13:38:35+00:00,2026-06-20T13:38:35+00:00,America/New_York,source_offset,40.812091,-73.951553,running,,6.73,4625,142,164,98,22.4,72.3,open-meteo,2026-06-20T09:00,,fitdecode,
COROS_export_2026-06-21,478372647346929771.fit,data/coros_exports/COROS_export_2026-06-21/478372647346929771.fit,bdbeac0847c045a1ed777790ba8ea71ec589c48be696d256be8f6b40496df45a,478372647346929771,2026-06-21T09:55:41-04:00,2026-06-21 13:55:41+00:00,2026-06-21T13:55:41+00:00,America/New_York,source_offset,40.818256,-73.961705,running,,10.63,7146,142,157,57,23.9,75.0,open-meteo,2026-06-21T09:00,,fitdecode,
