import_batch,source_file,source_relpath,source_sha256,activity_id,start_time,start_time_raw,start_time_utc,start_timezone,start_time_resolution,start_lat,start_lon,sport,sub_sport,distance_mi,duration_s,avg_hr,max_hr,ascent_m,weather_temp_c,weather_temp_f,weather_source,weather_observation_time,weather_fetch_error,parser,parse_error
COROS_export_2026-06-26,478423620557766756.fit,data/coros_exports/COROS_export_2026-06-26/478423620557766756.fit,204689435c82710a45b552ccba1b2e814a8ebd35716b03b11e00b820bd7029f8,478423620557766756,2026-06-23T17:22:31-04:00,2026-06-23 21:22:31+00:00,2026-06-23T21:22:31+00:00,America/New_York,source_offset,40.811381,-73.954130,running,,4.54,3029,135,155,53,20.6,69.1,open-meteo,2026-06-23T17:00,,fitdecode,
COROS_export_2026-06-26,478444005546295303.fit,data/coros_exports/COROS_export_2026-06-26/478444005546295303.fit,cc011bfab79501e245149c6930a8aff12d9e36d3406bf4ec02de736b89efb8a6,478444005546295303,2026-06-24T17:35:56-04:00,2026-06-24 21:35:56+00:00,2026-06-24T21:35:56+00:00,America/New_York,source_offset,40.811273,-73.954160,running,,6.06,4051,144,194,81,27.4,81.3,open-meteo,2026-06-24T17:00,,fitdecode,
COROS_export_2026-06-26,478469521676468429.fit,data/coros_exports/COROS_export_2026-06-26/478469521676468429.fit,a51c06feb259a7ab20310e6b1ec4b89c630f82f48c7b57d2ae6df0c457e4a496,478469521676468429,2026-06-25T17:28:27-04:00,2026-06-25 21:28:27+00:00,2026-06-25T21:28:27+00:00,America/New_York,source_offset,40.811367,-73.954130,running,,8.32,5602,140,156,107,26.9,80.4,open-meteo,2026-06-25T17:00,,fitdecode,
COROS_export_2026-06-26,478493513911140559.fit,data/coros_exports/COROS_export_2026-06-26/478493513911140559.fit,276c5c1009c1a757ed7f0b43cd2f20e82888168416292a194c462536ed909bb3,478493513911140559,2026-06-26T17:32:55-04:00,2026-06-26 21:32:55+00:00,2026-06-26T21:32:55+00:00,America/New_York,source_offset,40.811372,-73.954098,running,,4.03,2784,138,155,60,27.1,80.8,open-meteo,2026-06-26T17:00,,fitdecode,
