import_batch,source_file,source_relpath,source_sha256,activity_id,start_time,start_time_raw,start_time_utc,start_timezone,start_time_resolution,start_lat,start_lon,sport,sub_sport,distance_mi,duration_s,avg_hr,max_hr,ascent_m,weather_temp_c,weather_temp_f,weather_source,weather_observation_time,weather_fetch_error,parser,parse_error
COROS_export_2026-07-01,478505654978379878.fit,data/coros_exports/COROS_export_2026-07-01/478505654978379878.fit,d5fc96cefcbcec9e7f7e8e035cd5056a204fff279d7d04ba8aa382b6fb4a5853,478505654978379878,2026-06-27T08:53:26-04:00,2026-06-27 12:53:26+00:00,2026-06-27T12:53:26+00:00,America/New_York,source_offset,41.280536,-73.919280,running,trail,3.08,2386,145,165,128,21.3,70.3,open-meteo,2026-06-27T08:00,,fitdecode,
COROS_export_2026-07-01,478527679564382411.fit,data/coros_exports/COROS_export_2026-07-01/478527679564382411.fit,617704e490357d2bd60b264dafc21d2647302b466bd86cbe30f66999fb7091e7,478527679564382411,2026-06-28T08:57:06-04:00,2026-06-28 12:57:06+00:00,2026-06-28T12:57:06+00:00,America/New_York,source_offset,40.810036,-73.955445,running,,4.00,2609,140,162,61,21.9,71.4,open-meteo,2026-06-28T08:00,,fitdecode,
COROS_export_2026-07-01,478562782336286822.fit,data/coros_exports/COROS_export_2026-07-01/478562782336286822.fit,bc9b8b43c2dc8bb25af5214a191cea408bf7f385b4889f3732419a965aaf6618,478562782336286822,2026-06-29T19:18:33-04:00,2026-06-29 23:18:33+00:00,2026-06-29T23:18:33+00:00,America/New_York,source_offset,40.804586,-73.944993,running,,3.39,2059,147,165,11,28.1,82.6,open-meteo,2026-06-29T19:00,,fitdecode,
COROS_export_2026-07-01,478562782336286823.fit,data/coros_exports/COROS_export_2026-07-01/478562782336286823.fit,7bb10f31e1779985c4608ce7f380f4728dd8d792e079d6b6d8c746388ebee442,478562782336286823,2026-06-29T20:11:22-04:00,2026-06-30 00:11:22+00:00,2026-06-30T00:11:22+00:00,America/New_York,source_offset,40.804568,-73.945067,running,,0.81,597,138,147,5,27.2,81.0,open-meteo,2026-06-29T20:00,,fitdecode,
COROS_export_2026-07-01,478588991564709991.fit,data/coros_exports/COROS_export_2026-07-01/478588991564709991.fit,44890b5a76534d41845fad6c6b682de9f29729a9077bca47cc353296bdb944e8,478588991564709991,2026-06-30T17:28:12-04:00,2026-06-30 21:28:12+00:00,2026-06-30T21:28:12+00:00,America/New_York,source_offset,40.811319,-73.954190,running,,8.37,5818,141,175,108,31.9,89.4,open-meteo,2026-06-30T17:00,,fitdecode,
COROS_export_2026-07-01,478606504830730343.fit,data/coros_exports/COROS_export_2026-07-01/478606504830730343.fit,d1a33796c54d10b716b53dabfbecc4d058a1baeea02683eb3999d566774746e4,478606504830730343,2026-07-01T17:08:46-04:00,2026-07-01 21:08:46+00:00,2026-07-01T21:08:46+00:00,America/New_York,source_offset,40.811086,-73.954177,running,,4.61,3403,139,158,66,31.9,89.4,open-meteo,2026-07-01T17:00,,fitdecode,
