source_file,start_time,sport,sub_sport,distance_mi,duration_s,avg_hr,max_hr,ascent_m,parser,parse_error
468702728737030166.fit,2025-04-30 21:18:00+00:00,running,,6.81,4610,149,190,69,fitdecode,
468771540287127569.fit,2025-05-03 20:59:52+00:00,running,,3.86,2652,143,166,34,fitdecode,
469025777917132806.fit,2025-05-12 21:32:54+00:00,running,,4.26,2836,144,173,61,fitdecode,
469025777923424259.fit,2025-05-13 21:14:38,running,indoor_running,3.00,1904,140,167,,fitparse,
469025777923424260.fit,2025-05-14 11:47:17,running,,2.99,1487,166,188,71,fitparse,
469678192311959561.fit,2025-06-11 21:06:03+00:00,running,,4.36,3098,150,172,63,fitdecode,
469704974922711045.fit,2025-06-12 21:49:31+00:00,running,,5.25,3977,152,177,61,fitdecode,
469743269924864003.fit,2025-06-14 16:07:26+00:00,running,,4.27,3013,142,155,56,fitdecode,
469809385309241353.fit,2025-06-16 21:34:36+00:00,running,,5.56,3693,146,176,52,fitdecode,
469911034300235783.fit,2025-06-21 22:29:55+00:00,running,,5.42,3819,142,158,62,fitdecode,
469994566313869337.fit,2025-06-22 17:39:04+00:00,running,,4.26,2887,148,174,55,fitdecode,
470073190519963661.fit,2025-06-28 21:22:27+00:00,running,,5.75,4122,148,164,66,fitdecode,
470073190522060811.fit,2025-06-26 21:11:49+00:00,running,,5.26,3628,148,174,53,fitdecode,
470086513240080393.fit,2025-06-29 13:24:08+00:00,running,,7.34,5030,154,170,100,fitdecode,
470139621586534410.fit,2025-07-01 21:13:02,running,indoor_running,3.02,1949,137,162,,fitparse,
470212637641179145.fit,2025-07-02 21:08:45+00:00,running,,3.85,2900,135,154,56,fitdecode,
470450995439108397.fit,2025-07-14 21:39:20,running,indoor_running,3.03,1956,149,186,,fitparse,
470488203275567107.fit,2025-07-16 21:22:50+00:00,running,,4.63,3527,151,176,76,fitdecode,
471764715874320591.fit,2025-09-09 21:19:23+00:00,running,,1.84,1432,139,156,10,fitdecode,
471814902837706958.fit,2025-09-11 19:11:56+00:00,running,,3.50,2543,151,176,20,fitdecode,
471857315383902211.fit,2025-09-13 22:41:31,running,,1.39,1198,120,133,10,fitparse,
471880925624434891.fit,2025-09-14 20:37:26+00:00,running,,4.03,2946,155,181,57,fitdecode,
471906980494082052.fit,2025-09-15 21:33:02+00:00,running,,3.35,2380,144,164,22,fitdecode,
471955273643229186.fit,2025-09-17 21:52:27+00:00,running,,4.29,2982,151,180,55,fitdecode,
472023723073896450.fit,2025-09-20 20:44:45+00:00,running,,5.78,4324,149,172,59,fitdecode,
472048080919756813.fit,2025-09-21 16:05:51+00:00,running,,7.01,4998,155,187,81,fitdecode,
472067725282279627.fit,2025-09-22 21:59:31+00:00,running,,4.00,2662,149,169,62,fitdecode,
472166570198597636.fit,2025-09-26 21:14:56+00:00,running,,6.07,4325,152,171,67,fitdecode,
472184204529008644.fit,2025-09-27 22:26:40+00:00,running,,1.96,1531,135,152,7,fitdecode,
472196561965711363.fit,2025-09-28 13:15:12,running,trail,4.16,3835,146,178,271,fitparse,
472269994619601003.fit,2025-10-01 16:38:42+00:00,running,,3.50,2463,139,158,35,fitdecode,
472293685671788946.fit,2025-10-02 17:46:24+00:00,running,,3.51,2263,142,159,26,fitdecode,
472321937966662041.fit,2025-10-03 16:59:51+00:00,running,,3.50,2324,142,160,31,fitdecode,
472342018805235913.fit,2025-10-04 13:41:47+00:00,running,,3.48,2388,144,160,25,fitdecode,
473173997201162544.fit,2025-11-09 17:16:36,running,,1.56,1248,147,160,2,fitparse,
473207594303914086.fit,2025-11-10 17:31:18+00:00,running,,1.82,1334,140,157,14,fitdecode,
473696085372600322.fit,2025-12-01 22:19:37+00:00,running,,1.30,906,142,153,11,fitdecode,
473763812980326401.fit,2025-12-04 22:04:24+00:00,running,,1.86,1349,150,165,11,fitdecode,
473784605174956236.fit,2025-12-05 18:22:17+00:00,running,,4.26,2984,153,172,72,fitdecode,
473798141567598593.fit,2025-12-06 13:47:08,running,,1.05,704,139,161,13,fitparse,
473798141567598594.fit,2025-12-06 14:04:35,running,,3.16,1792,163,186,37,fitparse,
474024931691102212.fit,2025-12-16 02:18:15,running,,0.40,273,132,147,5,fitparse,
474024931691102213.fit,2025-12-16 02:49:52+00:00,running,,5.25,3107,166,187,23,fitdecode,
476557209231196267.fit,2026-04-04 14:14:50,running,,1.70,1190,147,177,9,fitparse,
476719593088385124.fit,2026-04-11 14:07:52+00:00,running,,1.84,1354,150,167,16,fitdecode,
476776390270681091.fit,2026-04-13 22:10:22+00:00,running,,3.15,2252,163,185,59,fitdecode,
476888827951087620.fit,2026-04-18 21:14:42+00:00,running,,3.19,2242,158,178,61,fitdecode,
476923004079603815.fit,2026-04-19 21:02:39+00:00,running,,4.12,2843,152,174,63,fitdecode,
476936236605407238.fit,2026-04-20 22:08:46+00:00,running,,3.00,2120,144,162,28,fitdecode,
477013157053759589.fit,2026-04-23 22:04:22+00:00,running,,3.25,2291,142,160,21,fitdecode,
477051713793065061.fit,2026-04-25 19:11:50+00:00,running,,3.70,2363,156,178,91,fitdecode,
477076833435680774.fit,2026-04-26 14:16:41+00:00,running,,6.01,4205,149,164,10,fitdecode,
477098320886530057.fit,2026-04-27 21:50:50+00:00,running,,3.22,2479,135,152,24,fitdecode,
477146135415259239.fit,2026-04-29 21:04:15+00:00,running,,3.50,2396,149,165,27,fitdecode,
477168624950346030.fit,2026-04-30 21:13:22+00:00,running,,3.40,2429,141,156,22,fitdecode,
477208884082147528.fit,2026-05-02 15:38:15,cycling,road,5.49,2282,93,144,88,fitparse,
477228340283998210.fit,2026-05-03 12:02:39,running,,6.31,3526,166,191,33,fitparse,
477268810968104966.fit,2026-05-04 21:42:47+00:00,running,,3.49,2448,141,154,30,fitdecode,
477306805041529033.fit,2026-05-06 21:45:16+00:00,running,indoor_running,2.81,2085,133,181,,fitdecode,
477332768131416365.fit,2026-05-07 21:14:43+00:00,running,,5.84,4120,145,166,61,fitdecode,
477368237313523718.fit,2026-05-09 12:32:40,running,,0.94,828,123,139,8,fitparse,
477368237313523720.fit,2026-05-09 13:13:47,running,,3.15,1607,173,191,29,fitparse,
