source_file,start_time,sport,sub_sport,distance_mi,duration_s,avg_hr,max_hr,ascent_m,parser,parse_error
454791802631782401.fit,2023-09-09 02:53:58+00:00,running,,5.04,3331,142,152,26,fitdecode,
454804133751324672.fit,2023-09-09 16:16:09,running,,1.40,1050,129,140,5,fitparse,
454805618736267264.fit,2023-09-09 17:15:02,running,,6.18,3090,173,190,9,fitparse,
454838662872465408.fit,2023-09-11 03:03:52+00:00,running,,6.86,4446,139,156,48,fitdecode,
454885297895800832.fit,2023-09-13 02:43:43+00:00,running,,10.05,6612,150,184,19,fitdecode,
454904012142051330.fit,2023-09-13 23:02:00+00:00,running,,5.11,3339,140,152,39,fitdecode,
454931946340909056.fit,2023-09-15 02:59:20+00:00,running,,10.93,6757,155,178,11,fitdecode,
454954278828670976.fit,2023-09-16 03:00:35+00:00,running,,5.11,3459,137,150,37,fitdecode,
454978270247550976.fit,2023-09-17 03:19:53+00:00,running,,8.10,5270,143,161,53,fitdecode,
454992388878794753.fit,2023-09-17 16:21:16+00:00,running,,16.16,10978,149,174,124,fitdecode,
455025546026319872.fit,2023-09-19 02:58:47+00:00,running,,5.10,3166,139,153,31,fitdecode,
455047899720482816.fit,2023-09-20 02:39:04+00:00,running,,2.30,2859,124,153,5,fitdecode,
455047899988918272.fit,2023-09-20 03:27:16+00:00,running,,8.22,5043,154,175,13,fitdecode,
455088538701037568.fit,2023-09-21 21:51:09+00:00,running,,5.71,3834,132,146,55,fitdecode,
455112079953657856.fit,2023-09-22 21:00:34+00:00,running,,12.97,8144,144,168,138,fitdecode,
455130871777755141.fit,2023-09-23 17:10:39+00:00,running,,8.28,5564,130,147,36,fitdecode,
455152539082457090.fit,2023-09-24 15:13:53+00:00,running,,10.31,6871,139,163,85,fitdecode,
455181230806171649.fit,2023-09-25 21:03:33+00:00,running,,8.49,6383,123,141,193,fitdecode,
455204398933508097.fit,2023-09-26 21:09:54+00:00,running,,9.47,5913,144,174,51,fitdecode,
455256111413493760.fit,2023-09-29 03:10:13,running,,6.46,4026,148,179,42,fitparse,
455280455824998400.fit,2023-09-30 03:21:08+00:00,running,,10.53,6565,165,188,13,fitdecode,
455293056990609408.fit,2023-09-30 17:22:32,running,,6.22,4144,146,173,32,fitparse,
455312542451924992.fit,2023-10-01 14:35:19+00:00,running,,0.60,465,122,133,2,fitdecode,
455315870783143936.fit,2023-10-01 15:32:11,running,,15.03,8883,159,187,125,fitparse,
455348458310631424.fit,2023-10-03 03:00:18+00:00,running,,5.09,3099,142,173,65,fitdecode,
455372064793067520.fit,2023-10-04 02:41:40+00:00,running,,8.79,5678,150,188,14,fitdecode,
455441641652649984.fit,2023-10-07 02:58:11+00:00,running,,7.63,4753,139,170,43,fitdecode,
455464049033904128.fit,2023-10-08 01:28:07+00:00,running,,11.00,7245,150,175,15,fitdecode,
455479007868125184.fit,2023-10-08 16:26:07+00:00,running,,11.19,9097,145,176,263,fitdecode,
455510988999917568.fit,2023-10-10 02:52:20+00:00,running,,6.94,4271,140,163,33,fitdecode,
455534448648159232.fit,2023-10-11 02:37:28+00:00,running,,9.40,6126,147,177,16,fitdecode,
455582530001731584.fit,2023-10-13 02:53:13+00:00,running,,6.53,4123,138,164,38,fitdecode,
455601432689672194.fit,2023-10-14 01:02:01,running,,3.81,2242,141,168,23,fitparse,
455615748889411589.fit,2023-10-14 16:08:08,running,,1.94,1224,134,145,,fitparse,
455616761964822528.fit,2023-10-14 17:09:04,running,,3.16,1308,174,188,3,fitparse,
455618476193644544.fit,2023-10-14 18:43:17,running,,3.91,2070,161,179,9,fitparse,
455642180118151169.fit,2023-10-15 16:23:59+00:00,running,,17.40,12273,140,169,127,fitdecode,
455672101007818753.fit,2023-10-17 01:54:00+00:00,running,,5.14,3170,143,163,28,fitdecode,
455697143351508992.fit,2023-10-18 02:38:29+00:00,running,,11.40,7363,150,182,21,fitdecode,
455719571939164160.fit,2023-10-19 03:02:44+00:00,running,,5.10,3095,139,155,29,fitdecode,
455742913207369728.fit,2023-10-20 02:41:29+00:00,running,,7.86,4869,141,167,36,fitdecode,
455766885030461440.fit,2023-10-21 02:50:35+00:00,running,,12.31,7198,154,175,14,fitdecode,
455794718029152256.fit,2023-10-22 08:31:22+00:00,running,,7.19,4125,137,165,54,fitdecode,
455806819904815104.fit,2023-10-22 20:58:49+00:00,running,,7.29,4359,141,158,59,fitdecode,
